fix 0 all npt temp ${T0}. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. 0.2000000000000000111
run 500000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Per MPI rank memory allocation (min/avg/max) = 4.236 | 4.236 | 4.236 Mbytes
   Step         PotEng         Volume        Density         Press           Temp          TotEng        Enthalpy   
     13000  -6406.3496      58894.495      1.4236948     -316.02921      1143.6375     -6151.0528     -6162.6697    
     13100  -6393.59        59110.363      1.4184955      1125.9937      1110.4559     -6145.7004     -6104.1582    
     13200  -6404.5226      59355.324      1.4126413      102.14723      1112.941      -6156.0783     -6152.2941    
     13300  -6402.413       59813.799      1.4018134      51.557404      1104.9831     -6155.7452     -6153.8204    
     13400  -6407.9881      59597.572      1.4068993      45.774889      1112.8559     -6159.5628     -6157.86      
     13500  -6394.1052      58997.44       1.4212105      760.94144      1092.5342     -6150.2163     -6122.1959    
     13600  -6403.4713      59605.338      1.406716       344.37185      1068.7122     -6164.9002     -6152.0886    
     13700  -6406.7778      58894.57       1.4236929     -116.60335      1114.2172     -6158.0486     -6162.3349    
     13800  -6391.6446      59469.827      1.4099214     -441.16556      1141.4431     -6136.8377     -6153.2129    
     13900  -6400.6162      59017.766      1.4207211      1039.4837      1090.2479     -6157.2377     -6118.9472    
     14000  -6414.306       59199.551      1.4163584     -717.99026      1089.7163     -6171.0461     -6197.5755    
     14100  -6401.9906      59305.551      1.4138269     -460.91846      1095.5583     -6157.4266     -6174.4878    
     14200  -6406.6055      58823.313      1.4254176      116.2254       1092.569      -6162.7088     -6158.4416    
     14300  -6413.3566      58582.147      1.4312856      492.85756      1087.3636     -6170.6219     -6152.6011    
     14400  -6399.9585      60086.932      1.3954413     -598.83624      1106.2268     -6153.0129     -6175.4713    
     14500  -6394.8764      59367.841      1.4123435     -260.98023      1099.4267     -6149.4489     -6159.1194    
     14600  -6403.3155      59157.76       1.417359      -330.27658      1061.8097     -6166.2854     -6178.4803    
     14700  -6401.8209      58818.262      1.42554        86.362088      1116.2178     -6152.645      -6149.4746    
     14800  -6412.3111      58332.253      1.4374172      1137.3614      1108.0118     -6164.9671     -6123.5579    
     14900  -6405.4981      59247.994      1.4152004     -608.97636      1093.3469     -6161.4278     -6183.9476    
     15000  -6412.231       59127.073      1.4180946      84.421761      1089.911      -6168.9277     -6165.8121    
     15100  -6403.5894      59346.251      1.4128573     -646.55863      1111.7712     -6155.4062     -6179.3554    
     15200  -6407.6801      58200.48       1.4406717      1003.6834      1075.3457     -6167.6282     -6131.1685    
     15300  -6404.1394      58609.873      1.4306085     -96.015608      1104.9695     -6157.4745     -6160.9869    
     15400  -6401.8145      59274.465      1.4145684     -1124.6115      1054.742      -6166.362      -6207.9684    
     15500  -6405.1306      58562.553      1.4317645      415.98914      1119.5814     -6155.204      -6139.9988    
     15600  -6402.2088      58925.805      1.4229383     -465.91179      1110.9813     -6154.2019     -6171.3375    
     15700  -6399.602       58221.606      1.4401489      1457.5731      1131.2038     -6147.0809     -6094.114     
