fix 0 all npt temp ${T0}. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. 0.2000000000000000111
run 500000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 7 7 7
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair born/coul/dsf, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 4.223 | 4.223 | 4.223 Mbytes
   Step         PotEng         Volume        Density         Press           Temp          TotEng        Enthalpy   
     11600  -6641.9169      46059.594      1.8204195     -1077.75        1074.0788     -6402.1478     -6433.1312    
     11700  -6650.1482      45223.677      1.8540682      2395.1729      1076.7656     -6409.7793     -6342.1722    
     11800  -6655.9859      45669.024      1.8359881     -1.4930028      1071.0573     -6416.8914     -6416.9339    
     11900  -6657.5811      45514.973      1.8422022      4.0502822      1020.1825     -6429.8434     -6429.7283    
     12000  -6655.6442      45358.593      1.8485535      911.3827       1088.1518     -6412.7336     -6386.9318    
     12100  -6639.9519      45951.688      1.8246943     -374.35222      1091.8281     -6396.2206     -6406.9573    
     12200  -6654.713       45740.726      1.83311       -106.43113      1108.7464     -6407.2051     -6410.2436    
     12300  -6659.7137      45279.582      1.8517791      930.68242      1075.8906     -6419.5402     -6393.2379    
     12400  -6654.2186      45796.188      1.83089       -600.56592      1102.5472     -6408.0945     -6425.2609    
     12500  -6632.9558      46062.041      1.8203228      391.39675      1116.0732     -6383.8123     -6372.5598    
     12600  -6652.2994      45575.02       1.839775       450.66572      1119.157      -6402.4675     -6389.648     
     12700  -6659.8479      45521.818      1.8419252     -177.45896      1067.2236     -6421.6091     -6426.6512    
     12800  -6658.2067      45442.03       1.8451593      829.77033      1141.9223     -6403.2928     -6379.7583    
     12900  -6652.4628      45646.104      1.83691        236.2737       1103.6516     -6406.0922     -6399.3607    
     13000  -6665.6224      45603.523      1.8386251     -1380.8632      1083.2489     -6423.8063     -6463.1105    
     13100  -6659.3341      45283.402      1.8516229      1426.7165      1137.4371     -6405.4215     -6365.0972    
     13200  -6658.6204      45304.439      1.8507631      1425.9619      1123.2671     -6407.871      -6367.5493    
     13300  -6659.4111      45429.346      1.8456745      400.36916      1074.8633     -6419.4669     -6408.1146    
     13400  -6644.354       45998.443      1.8228396     -722.79104      1117.5308     -6394.8851     -6415.6364    
     13500  -6655.2817      45744.688      1.8329513     -182.95912      1136.7252     -6401.528      -6406.7518    
     13600  -6664.4533      45768.318      1.8320049     -1728.8564      1111.6589     -6416.2952     -6465.6823    
     13700  -6662.6215      45443.163      1.8451133      278.59763      1086.5115     -6420.077      -6412.1751    
     13800  -6654.1665      45689.549      1.8351633     -24.732221      1113.3384     -6405.6334     -6406.3387    
     13900  -6665.8798      45434.768      1.8454542     -89.925489      1086.5821     -6423.3196     -6425.8697    
     14000  -6657.4378      45808.793      1.8303862     -650.15006      1099.9993     -6411.8825     -6430.4713    
     14100  -6650.3021      45758.191      1.8324104      200.65043      1109.7505     -6402.57       -6396.8394    
